Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Credit cards,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666b393bfcea61c2c393146d,60c770aa2d2928bfda4c7cd4,APPROVED,Not Applicable,2024-06-13T18:24:00.485000Z,2024-06-13T18:26:00.335000Z,2024-06-14T11:00:53.565000Z,2024-06-13T18:27:10.042419Z,120.0,CNJ99TX5,6942,"Visa, MasterCard",63,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
666b393ce35116597b150528,664c4db73e21a54a4f9bb02d,APPROVED,Not Applicable,2024-06-13T18:25:11.102000Z,2024-06-13T18:29:16.376000Z,2024-06-14T11:00:53.784000Z,2024-06-13T18:29:16.987440Z,246.0,CNJ99TX5,81,Visa,39,Male,White,United States,United States,United States,English,Yes,Full-Time
666b39408afe04cf17c5f047,5e935ec0ba38620009a3b0d8,APPROVED,Not Applicable,2024-06-13T18:24:04.502000Z,2024-06-13T18:25:40.687000Z,2024-06-14T11:00:54.103000Z,2024-06-13T18:27:06.154419Z,97.0,CNJ99TX5,1477,"Visa, MasterCard, American Express",30,Male,White,United States,United States,United States,English,Yes,Full-Time
666b3942d0ea0b57acad34dc,66294f63f8c6d8b938395572,AWAITING REVIEW,Not Applicable,2024-06-13T18:24:09.664000Z,2024-06-13T18:27:21.255000Z,,2024-06-13T18:27:49.020060Z,192.0,CNJ99TX5,372,"Visa, MasterCard, American Express",40,Female,White,United States,United States,United States,English,No,Full-Time
666b3944366f784e064581c8,5d3695969749cc00165c222f,APPROVED,Not Applicable,2024-06-13T18:24:06.967000Z,2024-06-13T18:33:04.388000Z,2024-06-14T11:00:54.321000Z,2024-06-13T18:33:04.924881Z,538.0,CNJ99TX5,7317,Visa,28,Male,White,United States,United States,United States,English,No,Full-Time
666b3952d10b043c62d4c44e,66380deabe642c814e1e7070,APPROVED,Not Applicable,2024-06-13T18:24:24.834000Z,2024-06-13T18:32:32.247000Z,2024-06-14T11:00:54.585000Z,2024-06-13T18:32:32.709027Z,488.0,CNJ99TX5,151,"Visa, MasterCard",35,Male,Black,United States,United States,United States,English,No,Full-Time
666b395b83147c2700a3e58b,664639e0828075ab2e79fef2,APPROVED,Not Applicable,2024-06-13T18:24:33.549000Z,2024-06-13T18:26:45.549000Z,2024-06-14T11:00:54.806000Z,2024-06-13T18:27:25.527675Z,132.0,CNJ99TX5,200,"Visa, MasterCard, American Express",32,Male,White,United States,United States,United States,English,No,Full-Time
666b395ca5f514486fe4734c,6307bee7b345c1bf0fb2f362,APPROVED,Not Applicable,2024-06-13T18:24:33.476000Z,2024-06-13T18:27:25.343000Z,2024-06-14T11:00:55.046000Z,2024-06-13T18:27:51.576063Z,172.0,CNJ99TX5,3057,"Visa, MasterCard",55,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
666b3962c8a2bde2c1609c62,612e91f6654fd2227289c863,APPROVED,Not Applicable,2024-06-13T18:24:37.347000Z,2024-06-13T18:26:26.398000Z,2024-06-14T11:00:55.261000Z,2024-06-13T18:27:15.817035Z,110.0,CNJ99TX5,6599,Visa,33,Male,White,United States,United States,United States,English,No,Full-Time
666b39637fdad5496b2f7ecc,60d3740f31606cb50e49f00c,APPROVED,Not Applicable,2024-06-13T18:24:44.039000Z,2024-06-13T18:27:03.158000Z,2024-06-14T11:00:55.572000Z,2024-06-13T18:27:35.231223Z,140.0,CNJ99TX5,8464,Visa,33,Male,White,United States,United States,United States,English,No,Full-Time
666b396a532cc13b0d7693b9,65eca514b174e94f5eb927c0,RETURNED,Not Applicable,2024-06-13T18:25:07.913000Z,,,2024-06-13T19:01:21.679240Z,,,359,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666b396ce44d3214c0342afb,5faf887aa9c32221f28e240a,APPROVED,Not Applicable,2024-06-13T18:24:51.168000Z,2024-06-13T18:30:12.990000Z,2024-06-14T11:00:55.844000Z,2024-06-13T18:30:14.764577Z,322.0,CNJ99TX5,730,"MasterCard, Visa, American Express",33,Male,Other,Mexico,United States,United States,Spanish,No,Full-Time
666b3978c62c11d17f30456e,66329bc10677b0613e8247ba,APPROVED,Not Applicable,2024-06-13T18:25:05.546000Z,2024-06-13T18:31:14.534000Z,2024-06-14T11:00:56.069000Z,2024-06-13T18:31:15.811625Z,369.0,CNJ99TX5,155,MasterCard,49,Male,White,United States,United States,United States,English,No,Full-Time
666b397bb2ff109a2cf0a0a5,60cefee15b44bd17785295f1,APPROVED,Not Applicable,2024-06-13T18:25:05.652000Z,2024-06-13T18:28:01.835000Z,2024-06-14T11:00:56.284000Z,2024-06-13T18:28:07.445933Z,177.0,CNJ99TX5,3036,"Visa, MasterCard",68,Male,Asian,Korea,United States,Korea,Korean,No,Part-Time
666b3981611489b9ae83d06b,62aa26592478d039ddeaaa4c,APPROVED,Not Applicable,2024-06-13T18:26:42.900000Z,2024-06-13T18:29:25.181000Z,2024-06-14T11:00:56.546000Z,2024-06-13T18:29:25.657480Z,163.0,CNJ99TX5,2734,"Visa, MasterCard",33,Male,White,United States,United States,United States,English,No,Full-Time
666b3992b4e167296c0c5ab6,5d093f05c79e5a0016796b18,APPROVED,Not Applicable,2024-06-13T18:25:48.618000Z,2024-06-13T18:29:37.282000Z,2024-06-14T11:00:56.815000Z,2024-06-13T18:29:37.838155Z,229.0,CNJ99TX5,2207,Visa,35,Male,White,United States,United States,United States,English,No,Full-Time
666b39986f04131b5076e144,6638c3aca920fb70660416c6,APPROVED,Not Applicable,2024-06-13T18:25:32.498000Z,2024-06-13T18:28:24.512000Z,2024-06-14T11:00:57.079000Z,2024-06-13T18:28:25.010149Z,173.0,CNJ99TX5,168,"MasterCard, American Express",33,Male,White,United States,United States,United States,English,No,Full-Time
666b39a3d9f5b52e6e7267c4,56f1d53bf2df32000b8f3748,APPROVED,Not Applicable,2024-06-13T18:25:46.084000Z,2024-06-13T18:27:42.376000Z,2024-06-14T11:00:57.393000Z,2024-06-13T18:27:59.753339Z,117.0,CNJ99TX5,5883,"American Express, Visa",38,Male,White,United States,United States,United States,English,No,Full-Time
666b39a9d3126ec7e2bd0bab,5c4685e43526c80001fd2899,APPROVED,Not Applicable,2024-06-13T18:25:47.632000Z,2024-06-13T18:27:08.868000Z,2024-06-14T11:00:57.685000Z,2024-06-13T18:27:39.156178Z,82.0,CNJ99TX5,4015,"Visa, MasterCard",43,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
666b39ac0d6e08be88f4ec0f,5c3027ef69d7820001063974,APPROVED,Not Applicable,2024-06-13T18:25:53.505000Z,2024-06-13T18:27:54.189000Z,2024-06-14T11:00:57.922000Z,2024-06-13T18:28:04.575935Z,121.0,CNJ99TX5,2276,"Visa, MasterCard, American Express",47,Male,White,United States,United States,United States,English,No,Full-Time
666b39aeae7c4ebd4fb2e51f,666061d08d487f694c359d4d,APPROVED,Not Applicable,2024-06-13T18:26:07.192000Z,2024-06-13T18:37:51.992000Z,2024-06-14T11:00:58.136000Z,2024-06-13T18:37:54.260070Z,705.0,CNJ99TX5,3,Visa,26,Male,Black,Ghana,United States,Ghana,English,Yes,Part-Time
666b39b26f3d634ea9263562,62dc65fdd3bbfeff289f1500,APPROVED,Not Applicable,2024-06-13T18:25:57.859000Z,2024-06-13T18:28:18.865000Z,2024-06-14T11:00:58.375000Z,2024-06-13T18:28:19.499732Z,142.0,CNJ99TX5,1949,"Visa, MasterCard",51,Male,White,United States,United States,United States,English,No,Full-Time
666b39bf83147c2700a3e599,63331d7bd9dcae2e49dff57e,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:15.876000Z,2024-06-13T18:32:14.730000Z,,2024-06-13T18:32:15.443991Z,359.0,CNJ99TX5,3392,Visa,26,Male,Other,United States,United States,United States,English,Yes,Part-Time
666b39c1a10d78f40b55635d,5db5dacdb2d499000a8f4439,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:14.807000Z,2024-06-13T18:28:42.075000Z,,2024-06-13T18:28:43.202465Z,148.0,CNJ99TX5,128,"Visa, MasterCard, Other, American Express",33,Male,White,United States,United States,United States,English,No,Other
666b39ccd22cdf457c93cbea,62b077136224952ffd679d48,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:25.210000Z,2024-06-13T18:29:22.161000Z,,2024-06-13T18:29:22.614623Z,177.0,CNJ99TX5,3835,"MasterCard, Visa",46,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
666b39cd580a15b7606a3992,65f357c5a622d1c759309691,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:29.349000Z,2024-06-13T18:29:48.913000Z,,2024-06-13T18:29:49.847486Z,200.0,CNJ99TX5,890,"Visa, MasterCard",39,Male,White,United States,United States,United States,English,No,Full-Time
666b39cec96338c402751bb4,57b359fb869234000179f236,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:29.030000Z,2024-06-13T18:28:45.553000Z,,2024-06-13T18:28:46.100074Z,137.0,CNJ99TX5,667,"MasterCard, Visa",40,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
666b39cf35ecac1dd12f7fc4,64275e53f51a5ed4f6b7d019,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:23.582000Z,2024-06-13T18:29:32.881000Z,,2024-06-13T18:29:33.441093Z,190.0,CNJ99TX5,2173,Visa,41,Male,Asian,Philippines,United States,United States,English,No,Unemployed (and job seeking)
666b39d10059ef4281eae930,66572cdd9804eb257479c191,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:30.372000Z,2024-06-13T18:32:06.673000Z,,2024-06-13T18:32:07.645646Z,337.0,CNJ99TX5,89,"Visa, American Express",34,Male,Black,Ghana,United States,United States,English,Yes,Full-Time
666b39d454303a9e0ae6a8dc,570d22b35e5156000efd8bd5,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:31.771000Z,2024-06-13T18:29:41.613000Z,,2024-06-13T18:29:42.078969Z,190.0,CNJ99TX5,3754,"Visa, MasterCard, American Express",41,Male,White,United States,United States,United States,English,No,Full-Time
666b39d57e3120c38e85a61c,660e1e216219b1c5787bec67,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:34.037000Z,2024-06-13T18:28:28.438000Z,,2024-06-13T18:28:28.919375Z,115.0,CNJ99TX5,759,Visa,41,Male,White,United States,United States,United States,English,No,Full-Time
666b39df84da0e403df3e67e,604397dd75ab0c367e5f2604,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:54.505000Z,2024-06-13T18:31:21.893000Z,,2024-06-13T18:31:22.508207Z,268.0,CNJ99TX5,4084,MasterCard,37,Male,White,United States,United States,United States,English,No,Full-Time
666b39e3c154edae31757511,6537deb965cbfe64469ac68f,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:49.728000Z,2024-06-13T18:30:45.294000Z,,2024-06-13T18:30:45.919194Z,236.0,CNJ99TX5,1424,"Visa, MasterCard, Other",58,Male,White,United States,United States,United States,English,No,Full-Time
666b39e449ff9870c0425408,6620c586eed0422a79cf41b4,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:48.797000Z,2024-06-13T18:28:56.690000Z,,2024-06-13T18:28:57.214242Z,128.0,CNJ99TX5,388,American Express,24,Male,White,United States,United States,United States,English,No,Full-Time
666b39e583513f725b15059a,5c022a94d183df000141f1e2,AWAITING REVIEW,Not Applicable,2024-06-13T18:26:48.928000Z,2024-06-13T18:29:19.075000Z,,2024-06-13T18:29:19.529874Z,151.0,CNJ99TX5,4058,MasterCard,53,Male,White,United States,United States,United States,English,No,Full-Time
666b39e8fcea61c2c393148f,5d634b27e5f92f0017196a3f,AWAITING REVIEW,Not Applicable,2024-06-13T18:27:07.965000Z,2024-06-13T18:31:33.689000Z,,2024-06-13T18:31:34.291736Z,266.0,CNJ99TX5,6099,"MasterCard, Visa, Other",35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
